,Epsilon,Guarda,Tiempo,Iteraciones,Diferencia
1806,1e-06,vector_delta,489650175.0,7111.0,5.744184020173293e-07
1807,1e-07,vector_delta,573008654.0,8644.0,3.2362781912098627e-08
1808,1e-08,vector_delta,645843475.0,10023.0,3.014792621769402e-08
1809,1e-09,vector_delta,783461006.0,11498.0,1.4081756205541752e-10
1810,1.0,eigen_value,475329703.0,4919.0,0.10559898370412163
1811,0.1,eigen_value,625596561.0,6453.0,2.0463573353737274e-05
1812,0.01,eigen_value,740792771.0,7844.0,5.600781713788195e-07
1813,0.001,eigen_value,968186032.0,9322.0,3.6438648542969077e-09
1814,0.0001,eigen_value,1111602985.0,10852.0,1.7688932985038263e-10
1815,1e-05,eigen_value,1227291247.0,12142.0,2.748833693999586e-10
1816,1e-06,eigen_value,1297209092.0,13491.0,2.5137465442526264e-10
1817,1e-07,eigen_value,1389621698.0,14736.0,2.3469441501333675e-10
1818,1e-08,eigen_value,1473002548.0,15706.0,1.2383418734884799e-10
1819,1e-09,eigen_value,1680648918.0,17198.0,2.619048622420905e-10
1820,1.0,vector_delta,290543645.0,4314.0,15219.309061740281
1821,0.1,vector_delta,295039542.0,4397.0,3699.363750719908
1822,0.01,vector_delta,157362370.0,2266.0,276.4612685670278
1823,0.001,vector_delta,197282968.0,2920.0,0.8527710635463602
1824,0.0001,vector_delta,343705420.0,5146.0,0.01679559683135425
1825,1e-05,vector_delta,447214613.0,6739.0,0.009245908556436503
1826,1e-06,vector_delta,565751815.0,8445.0,0.0003094630729417247
1827,1e-07,vector_delta,670618772.0,10196.0,0.0003087012744791551
1828,1e-08,vector_delta,757268218.0,11636.0,8.069548520168724e-06
1829,1e-09,vector_delta,830186256.0,12941.0,0.031605767597906474
1830,1.0,eigen_value,575582082.0,5992.0,0.032673753235716724
1831,0.1,eigen_value,726695363.0,7589.0,9.427385340712746e-05
1832,0.01,eigen_value,907493826.0,9409.0,1.1620423381497603e-05
1833,0.001,eigen_value,1056341586.0,11023.0,0.030452996387047248
1834,0.0001,eigen_value,1156811486.0,12137.0,0.0001843239522068707
1835,1e-05,eigen_value,1263258701.0,13304.0,0.002043211099406239
1836,1e-06,eigen_value,1413155440.0,14812.0,0.020025604148108087
1837,1e-07,eigen_value,1479217341.0,15863.0,0.0005503750174346145
1838,1e-08,eigen_value,1592824530.0,17112.0,0.00044797284303003335
1839,1e-09,eigen_value,1682483647.0,18039.0,0.00010318686382817078
1840,1.0,vector_delta,373052666.0,5690.0,28455.34749003302
1841,0.1,vector_delta,300743953.0,4455.0,2981.497930040361
1842,0.01,vector_delta,161942681.0,2384.0,59.47840823621192
1843,0.001,vector_delta,182780965.0,2693.0,0.7273415428753884
1844,0.0001,vector_delta,275506343.0,4213.0,0.0070454870728824835
1845,1e-05,vector_delta,365947461.0,5638.0,6.721352908527933e-05
1846,1e-06,vector_delta,494142125.0,7250.0,7.032506277226958e-07
1847,1e-07,vector_delta,573172297.0,8915.0,6.905026399550707e-09
1848,1e-08,vector_delta,666027021.0,10146.0,1.6329606644660545e-08
1849,1e-09,vector_delta,739441030.0,11597.0,1.2140266666982314e-06
1850,1.0,eigen_value,517160465.0,5471.0,0.0012375563917227694
1851,0.1,eigen_value,635592344.0,6758.0,1.3300187579066147e-05
